,b,',M,d,\,x,0,4,2,5,-,e
b,1.0,,4.0,,,,,,4.0,,,
',,2.0,,,,,,,,,,
G,,,1.0,,,,,,,,,
\,,,35.0,,6.0,,,,21.0,,,
x,,,35.0,,,6.0,,,21.0,,,
f,,,9.0,,,,,,3.0,,,1.0
7,,,4.0,,,,,,,,,
B,,,2.0,,,,,,,,,
e,,,8.0,,,,,,1.0,,,1.0
a,,,6.0,,,,,,7.0,,,
6,,,3.0,,,,,,1.0,,,
0,,,4.0,,,,1.0,,4.0,,,
5,,,2.0,,,,,,,1.0,,
9,,,12.0,,,,,,5.0,,,
1,,,5.0,,,,,,5.0,,,
c,,,5.0,,,,,,1.0,,,
t,,,2.0,,,,,,,,,
P,,,1.0,,,,,,1.0,,,
),,,1.0,,,,,,,,,
8,,,4.0,,,,,,7.0,,,2.0
X,,,1.0,,,,,,,,,
O,,,1.0,,,,,,,,,
V,,,1.0,,,,,,,,,
3,,,2.0,,,,,,2.0,,,
U,,,1.0,,,,,,,,,
m,,,1.0,,,,,,1.0,,,
=,,,1.0,,,,,,,,,
E,,,1.0,,,,,,,,,
2,,,1.0,,,,,,3.0,,,
{,,,1.0,,,,,,,,,
H,,,1.0,,,,,,,,,
i,,,1.0,,,,,,1.0,,,
d,,,1.0,3.0,,,,,2.0,,,
<,,,1.0,,,,,,,,,
u,,,1.0,,,,,,,,,
*,,,1.0,,,,,,,,,
4,,,,,,,,3.0,,,,
g,,,,,,,,,1.0,,,
_,,,,,,,,,2.0,,,
z,,,,,,,,,1.0,,,
o,,,,,,,,,1.0,,,
I,,,,,,,,,1.0,,,
R,,,,,,,,,1.0,,,
:,,,,,,,,,,,1.0,
